"tau= 0.01","tau= 0.02","tau= 0.03","tau= 0.04","tau= 0.05","tau= 0.06","tau= 0.07","tau= 0.08","tau= 0.09","tau= 0.10","tau= 0.11","tau= 0.12","tau= 0.13","tau= 0.14","tau= 0.15","tau= 0.16","tau= 0.17","tau= 0.18","tau= 0.19","tau= 0.20","tau= 0.21","tau= 0.22","tau= 0.23","tau= 0.24","tau= 0.25","tau= 0.26","tau= 0.27","tau= 0.28","tau= 0.29","tau= 0.30","tau= 0.31","tau= 0.32","tau= 0.33","tau= 0.34","tau= 0.35","tau= 0.36","tau= 0.37","tau= 0.38","tau= 0.39","tau= 0.40","tau= 0.41","tau= 0.42","tau= 0.43","tau= 0.44","tau= 0.45","tau= 0.46","tau= 0.47","tau= 0.48","tau= 0.49","tau= 0.50","tau= 0.51","tau= 0.52","tau= 0.53","tau= 0.54","tau= 0.55","tau= 0.56","tau= 0.57","tau= 0.58","tau= 0.59","tau= 0.60","tau= 0.61","tau= 0.62","tau= 0.63","tau= 0.64","tau= 0.65","tau= 0.66","tau= 0.67","tau= 0.68","tau= 0.69","tau= 0.70","tau= 0.71","tau= 0.72","tau= 0.73","tau= 0.74","tau= 0.75","tau= 0.76","tau= 0.77","tau= 0.78","tau= 0.79","tau= 0.80","tau= 0.81","tau= 0.82","tau= 0.83","tau= 0.84","tau= 0.85","tau= 0.86","tau= 0.87","tau= 0.88","tau= 0.89","tau= 0.90","tau= 0.91","tau= 0.92","tau= 0.93","tau= 0.94","tau= 0.95","tau= 0.96","tau= 0.97","tau= 0.98","tau= 0.99"
"1",142.39192147749,144.913374359848,153.811823224826,155.344469935663,156.557565862837,157.448990930365,158.182637598164,159.250742870421,159.722677634282,160.132034632035,160.683657670083,162.019650902744,163.757192463215,165.40559292531,165.710970304333,166.3,166.914110365382,167.042726878524,167.361923317389,168.140445783914,169.093704763583,169.85810052484,169.894821452456,170.33513986784,170.966104586411,171.91438142437,173.309119801232,173.522649348436,174.044345355644,175.248510202259,176.118840379183,177.204524247915,178.499125595902,178.788451893128,181.253627942185,181.231358480949,181.159382977662,181.736274935415,181.939151682742,182.917637484363,184.048169074607,184.493353755673,184.834146015799,185.609561534091,185.773600324727,186.329369477593,187.438064832921,187.917199768788,188.37448664021,188.385103975382,189.443925236009,189.86140883325,190.937742075928,192.002627774201,192.310303709141,192.588522014566,192.969606070688,193.183375076273,193.856888068291,194.190733428074,194.885758575881,195.56847905961,196.507792702129,197.344455278836,197.853805889385,198.630375811723,199.633304704206,199.90583203292,200.208265136437,200.377053900187,200.616372688154,200.993934491556,202.335481251627,202.361402957401,202.759021693647,203.173837726782,204.661314107296,205.135091277892,205.644791327901,205.991458918643,206.103272727273,206.62343007854,206.686604386221,207.120034305117,207.892577984623,207.821848606027,208.700779870427,209.979669916358,210.932762555885,211.28757756102,211.547416943938,213.408370711319,218.131574124155,219.249114992948,220.255081777963,222.715451631946,226.813958429064,226.83856084377,233.991875703787
"2",139.377305826356,141.680493082004,150.161233764198,151.567291329245,152.664519163683,153.522650759857,154.181660369553,155.181904747909,155.650245870573,155.977626039568,156.507861391481,157.810390227205,159.409657986598,161.176749944798,161.510161825943,162.116594310257,162.8,162.98015164792,163.279857722727,164.08310526132,164.909320670238,165.577324413114,165.614352254727,166.067827887435,166.707934727787,167.81334636825,169.29019644888,169.55225534924,170.068470198238,171.053731229026,171.98211174915,173.068083776137,174.414284883601,174.699596530093,177.298005901235,177.268870999427,177.176676671583,177.81095624323,178.10932798665,179.007577480449,180.06713162213,180.4663505154,180.778637164685,181.574725507827,181.696067293214,182.227509631718,183.312294086832,183.818907183836,184.255267612582,184.303008201994,185.296239606876,185.695685177914,186.76053138311,187.88069498765,188.170775297079,188.464589365592,188.87632703785,189.084522230465,189.8422810903,190.248564175881,190.905494464993,191.639968090487,192.520046803546,193.279943173448,193.817193421879,194.633432291298,195.555547370359,195.860415902616,196.133264054947,196.249908142083,196.447681378537,196.823909317366,198.099217331324,198.145606744904,198.452149123409,198.822724546131,200.165120249048,200.599682088698,201.112292243767,201.591890393474,201.678290197341,202.194501753923,202.283182299197,202.69032949714,203.5145418857,203.457781148978,204.373499174065,205.620040267121,206.609225426315,206.990452010247,207.212155141935,209.097178574618,213.654008650685,214.779917599587,215.776686480633,218.36090808698,222.120262052808,222.215868676445,229.370656321577
"3",142.39624461839,144.914446830417,153.788150260403,155.323865712674,156.534950016084,157.425551369704,158.159158006778,159.225680377537,159.7,160.110678210678,160.663536966922,161.997161812033,163.732017962104,165.379010180019,165.684441256306,166.275389666115,166.889065700284,167.018846015231,167.341272459018,168.119615823185,169.072415573104,169.835715334948,169.874023285616,170.314651100262,170.948257806879,171.897995948287,173.28968801292,173.504910946665,174.02546074308,175.226485881889,176.096400568938,177.180802262474,178.472719458638,178.763268788875,181.222637162274,181.202590110965,181.133197357743,181.711101474871,181.916963821219,182.892743967833,184.023362102847,184.467888074081,184.808672509549,185.584597431264,185.751328934197,186.305824131133,187.412242953428,187.892669424624,188.349612373155,188.365018561581,189.421062471609,189.83870333861,190.912132929559,191.974584602323,192.28239388351,192.560999749609,192.944198077479,193.159167904486,193.83383936414,194.167525119949,194.860442531772,195.542409074304,196.48011532404,197.314478276747,197.824630921244,198.599942283814,199.600961611611,199.875504851198,200.178489366575,200.350170643559,200.590555062749,200.968429048934,202.306697639307,202.334585916309,202.731457252978,203.146698338382,204.630463030832,205.103042596351,205.614829546807,205.963756383467,206.076363636364,206.599165557581,206.664100791603,207.097751095665,207.871110827641,207.804619815077,208.681491759724,209.959319913997,210.912588921171,211.271347088058,211.53625310648,213.395188883571,218.105852626686,219.222462245274,220.232390845043,222.69341827787,226.781962558,226.806148788255,233.950641965111
"4",142.398406188841,144.914983065702,153.776313778191,155.31356360118,156.523642092707,157.413831589373,158.147418211084,159.213149131096,159.688661182859,160.1,160.653476615341,161.985917266678,163.719430711548,165.365718807373,165.671176732293,166.263084499173,166.876543367735,167.006905583585,167.330947029832,168.109200842821,169.061770977864,169.824522740002,169.863624202196,170.304406716473,170.939334417114,171.889803210246,173.279972118764,173.496041745779,174.016018436798,175.215473721705,176.085180663815,177.168941269754,178.459516390006,178.750677236748,181.207141772319,181.188205925973,181.120104547783,181.698514744598,181.905869890457,182.880297209568,184.010958616967,184.455155233285,184.795935756423,185.572115379851,185.740193238931,186.294051457903,187.399332013681,187.880404252542,188.337175239628,188.35497585468,189.409631089409,189.827350591289,190.899328356375,191.960563016384,192.268438970695,192.54723861713,192.931494080875,193.147064318593,193.822315012065,194.155920965886,194.847784509718,195.529374081651,196.466276634996,197.299489775702,197.810043437173,198.58472551986,199.584790065314,199.860341260337,200.163601481645,200.336729015245,200.577646250047,200.955676327623,202.292305833148,202.321177395763,202.717675032643,203.133128644182,204.615037492599,205.08701825558,205.599848656261,205.949905115878,206.062909090909,206.587033297101,206.652848994294,207.086609490939,207.860377249149,207.796005419601,208.671847704372,209.949144912817,210.902502103814,211.263231851577,211.530671187751,213.388597969697,218.092991877952,219.209135871437,220.221045378583,222.682401600831,226.765964622467,226.789942760498,233.930025095773
"5",148.761574928394,151.69346320563,161.324956672443,163.1,164.533144555517,165.490814768471,166.366642907598,167.558974869196,168.03665379441,168.636104411546,169.236753657469,170.622341985359,172.619041374754,174.009335481412,174.256843905912,174.806508343283,175.292754503831,175.33059358619,175.685828876641,176.407502624345,177.612835803601,178.565172797542,178.610709767889,179.021417692795,179.634736842105,180.271617161716,181.474714499282,181.608384253219,182.143385737142,183.787978673837,184.528573949679,185.596968157422,186.767869741894,187.066575612326,189.224905837726,189.221115572836,189.206681905521,189.660215721551,189.686475153856,190.816559431691,192.067845744674,192.60767531276,193.005079853532,193.731121844718,193.97895566872,194.577114630243,195.72079260334,196.143527950386,196.637439309421,196.575320179749,197.753555376451,198.204328473069,199.295372999578,200.233819872453,200.575083948459,200.817921732298,201.131529981715,201.356537939918,201.859780987112,202.053276079948,202.817745542967,203.385567480846,204.443102450288,205.428786162396,205.884552623097,206.571348586323,207.725366511984,207.929078505958,208.304293028111,208.62417852973,208.945553027939,209.32500264691,210.783947908731,210.771780615765,211.358385568699,211.861731922245,213.630693765987,214.178092505149,214.682834645669,214.811225042903,214.986964569566,215.505856132848,215.518576638673,216.00130628372,216.66953083561,216.572796907007,217.375621619583,218.684320265968,219.549622710822,219.858475651774,220.189551025536,221.970784624936,226.998631697971,228.093167706869,229.092671693001,231.271912702281,236.00805835652,236.204666666667,243.168368308645
"6",148.761366478542,151.691474626787,161.309358752166,163.08618705036,164.518203654177,165.47518015526,166.3509863728,167.542460469897,168.02158269571,168.621114368679,169.222549289343,170.606828771483,172.602044118287,173.991832182119,174.239393881504,174.789963347575,175.276416950853,175.315296793095,175.672331962755,176.393805387922,177.598863868115,178.550531799128,178.597117566055,179.008115790443,179.623157894737,180.26105610561,181.463058118624,181.597739771272,182.132181952951,183.774598459123,184.515210661142,185.583115436336,186.752882724356,187.05212042564,189.207995391126,189.205376042255,189.191816383692,189.645978487412,189.674051652876,190.802507305851,192.053868992544,192.593253204922,192.990645285119,193.717107887952,193.966359891,194.563830093543,195.706318075687,196.129975643369,196.623702941793,196.564155883623,197.740865168583,198.191775644334,199.281143015948,200.218459436301,200.559757786773,200.802864808367,201.117773798978,201.343481040297,201.847741650085,202.041284658091,202.8045515084,203.372141383917,204.42877545469,205.413067061828,205.869202092163,206.555419645053,207.708356928927,207.913238017351,208.288825854493,208.60960332374,208.931538816204,209.311238572226,210.768393770926,210.757430700784,211.343516660194,211.846924223273,213.613543048335,214.160257441739,214.665984251969,214.796297567908,214.972245056643,215.492609229036,215.506327660462,215.98918407618,216.658176072897,216.563897144927,217.365801400823,218.673811963853,219.539403800817,219.850592956499,220.184311608002,221.964693637709,226.985690782852,228.079575537776,229.081396333384,231.261246945506,235.991422766786,236.1875,243.147057650175
"7",148.761158028689,151.689486047943,161.293760831889,163.072374100719,164.503262752836,165.459545542049,166.335329838001,167.525946070597,168.00651159701,168.606124325812,169.208344921217,170.591315557606,172.585046861821,173.974328882825,174.221943857095,174.773418351868,175.260079397876,175.3,175.658835048868,176.380108151499,177.584891932629,178.535890800714,178.58352536422,178.994813888091,179.611578947369,180.250495049504,181.451401737966,181.587095289325,182.12097816876,183.761218244408,184.501847372606,185.56926271525,186.737895706818,187.037665238953,189.191084944526,189.189636511674,189.176950861862,189.631741253273,189.661628151895,190.788455180011,192.039892240415,192.578831097085,192.976210716706,193.703093931185,193.953764113279,194.550545556843,195.691843548033,196.116423336351,196.609966574165,196.552991587498,197.728174960716,198.179222815599,199.266913032318,200.203099000149,200.544431625087,200.787807884436,201.104017616241,201.330424140676,201.835702313058,202.029293236233,202.791357473833,203.358715286988,204.414448459093,205.39734796126,205.853851561228,206.539490703783,207.69134734587,207.897397528744,208.273358680876,208.59502811775,208.917524604469,209.297474497541,210.752839633121,210.743080785802,211.328647751688,211.8321165243,213.596392330684,214.142422378329,214.649133858268,214.781370092914,214.95752554372,215.479362325225,215.494078682251,215.977061868639,216.646821310184,216.554997382847,217.355981182063,218.663303661737,219.529184890813,219.842710261225,220.179072190468,221.958602650482,226.972749867732,228.065983368682,229.070120973767,231.250581188731,235.974787177051,236.170333333333,243.125746991705
"8",148.760949578837,151.6874974691,161.278162911611,163.058561151079,164.488321851495,165.443910928838,166.319673303203,167.509431671298,167.99144049831,168.591134282945,169.194140553091,170.575802343729,172.568049605355,173.956825583531,174.204493832687,174.756873356161,175.243741844899,175.284703206905,175.645338134982,176.366410915075,177.570919997142,178.5212498023,178.569933162386,178.981511985739,179.6,180.239933993399,181.439745357308,181.576450807378,182.109774384568,183.747838029694,184.488484084069,185.555409994164,186.72290868928,187.023210052266,189.174174497926,189.173896981093,189.162085340032,189.617504019134,189.649204650915,190.774403054172,192.025915488285,192.564408989248,192.961776148294,193.689079974419,193.941168335559,194.537261020144,195.677369020379,196.102871029334,196.596230206537,196.541827291373,197.715484752849,198.166669986863,199.252683048688,200.187738563997,200.529105463402,200.772750960505,201.090261433504,201.317367241055,201.823662976031,202.017301814376,202.778163439265,203.345289190059,204.400121463495,205.381628860692,205.838501030293,206.523561762513,207.674337762812,207.881557040137,208.257891507258,208.58045291176,208.903510392734,209.283710422857,210.737285495317,210.728730870821,211.313778843182,211.817308825328,213.579241613032,214.124587314919,214.632283464567,214.766442617919,214.942806030797,215.466115421413,215.481829704041,215.964939661098,216.63546654747,216.546097620768,217.346160963304,218.652795359621,219.518965980808,219.834827565951,220.173832772934,221.952511663254,226.959808952612,228.052391199589,229.05884561415,231.239915431956,235.958151587316,236.153166666667,243.104436333235
"9",133.680552820928,135.534583237538,143.110701850436,144.25909362581,145.120405170837,145.915766674556,146.422557786941,147.279963273752,147.739349539851,147.934409885016,148.427078829129,149.647544773826,150.961862489088,152.939002858382,153.325416429629,153.960374991296,154.793495653549,155.088755432722,155.345920387011,156.190030453765,156.769026993413,157.245873842778,157.294341442765,157.770231818787,158.428981644992,159.839654394944,161.451690951092,161.824735614852,162.330982560112,162.895154237714,163.922004450687,164.99124072179,166.417145701405,166.696265948409,169.513244259389,169.475321254254,169.363082768992,170.099260368449,170.594277987368,171.329817634001,172.230637047721,172.54275913717,172.798441163616,173.626427061929,173.661654753883,174.140031218445,175.166297263343,175.725058126658,176.115515258606,176.234774241575,177.089856532038,177.451670033736,178.488003653095,179.700000000001,179.95449757013,180.273953240193,180.736983312611,180.934850662558,181.85126132097,182.400509928346,182.977972906179,183.801128240473,184.564660782802,185.172265755365,185.767218833377,186.650296295867,187.405544329777,187.767824630611,187.993779778302,188.05257221684,188.168219983601,188.541616230308,189.674344724987,189.763106564111,189.902112134976,190.187336022029,191.242077071025,191.596147596054,192.115472022841,192.893200203974,192.942821845192,193.441179083281,193.578666642745,193.930807550925,194.849289457718,194.819480064697,195.799988289088,196.954433511809,197.997147041819,198.437972185716,198.579515447238,200.480289616631,204.686931027298,205.824279983318,206.776994826795,209.567916575018,212.635716476017,213.141457051934,220.118319536323
"10",118.363127326968,118.992746391313,123.991444500431,124.422878379885,124.662236008656,125.298327700545,125.385013840557,125.837211029596,126.267893028827,126.203228472491,126.629419358882,127.532846328797,128.075542949489,130.457392075189,130.966313492679,131.552651223304,133.0603022265,133.897482435865,133.968569095578,134.822023784173,134.839847872826,134.839966835567,135.065883356419,135.600638375141,136.368236445824,138.499902982828,140.453016800716,141.231695700004,141.726631492321,141.26336489375,142.460392255735,143.404667288091,144.958876057415,145.190599444571,148.431826746835,148.376192793834,148.236750087679,149.125445174287,150.153327526489,150.461663419403,150.82284934579,150.924936185823,151.023404189851,151.886617258016,151.629430674713,151.954293908004,152.787479416552,153.509731183066,153.751438575185,153.943734684669,154.421975721513,154.689285714285,155.637122807993,157.014049507143,157.16385983271,157.508867236131,158.011345698627,158.196018145263,159.491823463431,160.401985279898,160.770515394604,161.750095720857,162.219663454867,162.446678712458,163.197967674014,164.195018368694,164.491801694911,164.922834324441,165.102294959426,165.130121606854,165.019650421437,165.411738394822,166.139384437265,166.364460890731,166.205569128822,166.25141068936,166.570344747706,166.709010555647,167.191789139518,169.075625069503,169.069247899277,169.405199272909,169.624917847325,169.804081227295,170.900000000001,170.899999999999,171.992617925865,172.73898834399,173.802294303419,174.488682175408,174.29094788822,176.059015799687,179.349999999998,180.461744077055,181.070717582914,184.109459863681,185.337430167598,188.47541061465,193.832033824086
